oneplan_solution_id,market,marketname,parentsolutionid,solutionid,solutionname,solutiontype,solutioninitiative,technology_type,requested_year,onairyear,status,por,pory,disabled,offloadprediction,useexhaustedyear,usebuildplanyear,projectnumber,bw700,bw700uc,bw600,bw700l,bw700ud,bw47,bwaws,bwpcs,bw850,bwaws3,bwlaa,bwcbrs,bwcband,bw28,bw39,carrnum,nodecnt,comments1,comments2,comments3,comments4,comments5,createdby,createdon,modifiedby,modifiedon,completedby,completedon,reactivatedby,reactivatedon,deleted,deletedby,deletedon,spectrum_override,spectrum_override_reason,spectrum_modified_by,spectrum_modified_on,useraction,useractionby,useractionon,useractionreason,useractioncomment,xpor,xdisabled,xoffloadprediction,xdeleted,source,groupname,capitalestimate,primary_rationale,rationale,groupid,symbiotic0,symbiotic1,symbiotic2,abbreviation,apply,release_flag,release_kss,release_priority_rank,release_tier,project_release_timestamp,released_by,rationale_reason,kracken_suggested_year,kracken_pslc,build_flag,sectors_applied,sector_count,cma_number,cma_name,trafficapprovedby,trafficapprovedon,total_sspt_sectors_added,solution_category,primary_site,fuze_site_id,budget_project_type,fips,existing_location_flag,legal_due_date,morphology,morphologyabbr,autodetected,autodetectedon,root_failures,sgfi,plannedgnodeb,clusterid,dependency_type,related_spm_project_no,ecpdid,dss,required_by_date
509924,133,Dallas,370589,5605902,HIDDENRIDGE14_SC,SC,LAA,4G,0,2025,INACTIVE,0,0,0,1,0,0,15207103,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Small Cell 5G - Initial Build,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,RAN Capacity Default,,,,,CAPTRG,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616794670,5GNRM,48113,,,URBAN-SUBURBAN,UBSB,0,,,,,,,,,,
509915,133,Dallas,370588,5605898,HIDDENRIDGE13_SC,SC,LAA,4G,0,2025,INACTIVE,0,0,0,1,0,0,15207101,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Small Cell 5G - Initial Build,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,RAN Capacity Default,,,,,CAPTRG,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616794669,5GNRM,48113,,,URBAN-SUBURBAN,UBSB,0,,,,,,,,,,
509905,133,Dallas,370587,5605894,HIDDENRIDGE12_SC,SC,LAA,4G,0,2029,INACTIVE,0,0,0,1,0,0,15207099,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Small Cell 5G - Initial Build,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,RAN Capacity Default,,,,,CAPTRG,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616675179,5GNRM,48113,,,URBAN,UB,0,,,,,,,,,,
509895,133,Dallas,370586,5605890,HIDDENRIDGE11_SC,SC,LAA,4G,0,2025,INACTIVE,0,0,0,1,0,0,15207097,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Small Cell 5G - Initial Build,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,RAN Capacity Default,,,,,CAPTRG,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616794668,5GNRM,48113,,,URBAN-SUBURBAN,UBSB,0,,,,,,,,,,
509867,133,Dallas,370583,5605878,HIDDENRIDGE8_SC,SC,LAA,4G,0,2025,INACTIVE,0,0,0,1,0,0,15207091,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Small Cell 5G - Initial Build,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,RAN Capacity Default,,,,,CAPTRG,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616794666,5GNRM,48113,,,URBAN-SUBURBAN,UBSB,0,,,,,,,,,,
509858,133,Dallas,370582,5605874,HIDDENRIDGE7_SC,SC,LAA,4G,0,2025,INACTIVE,0,0,0,1,0,0,15207089,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Small Cell 5G - Initial Build,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,RAN Capacity Default,,,,,CAPTRG,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616794665,5GNRM,48113,,,URBAN-SUBURBAN,UBSB,0,,,,,,,,,,
509849,133,Dallas,370581,5605870,HIDDENRIDGE6_SC,SC,LAA,4G,0,2025,INACTIVE,0,0,0,1,0,0,15207087,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Small Cell 5G - Initial Build,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,RAN Capacity Default,,,,,CAPTRG,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616794596,5GNRM,48113,,,URBAN-SUBURBAN,UBSB,0,,,,,,,,,,
509835,133,Dallas,370579,5605862,HIDDENRIDGE4_SC,SC,LAA,4G,0,2025,INACTIVE,0,0,0,1,0,0,15207083,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Small Cell 5G - Initial Build,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,RAN Capacity Default,,,,,CAPTRG,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616794595,5GNRM,48113,,,URBAN-SUBURBAN,UBSB,0,,,,,,,,,,
509817,133,Dallas,370577,5605854,HIDDENRIDGE2_SC,SC,LAA,4G,0,2029,INACTIVE,0,0,0,1,0,0,15207079,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Small Cell 5G - Initial Build,Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,RAN Capacity Default,,,,,CAPTRG,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616524724,5GNRM,48113,,,URBAN,UB,0,,,,,,,,,,
510686,133,Dallas,370772,5606159,HIDDENRIDGE19_SC,SC,AWS3,4G,0,2025,INACTIVE,0,0,0,1,0,0,15298143,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,CTX Project 2.0: Modification-Type-Micro (SC Trad),Solution created during Data Integrity Audit,-,-,-,SHAMIAS,2019-01-15 14:04:00,OPT_UPDT_SOL_OP_FRM_DRM,2025-11-18 18:27:11,,,,,0,,,NO,,,,,,,,,FALSE,FALSE,TRUE,FALSE,Manual,,0,5G Millimeter Wave Densification Default,5G Millimeter Wave Densification Default,,,,,5GMWD,1,YES,,,,2019-04-22 16:03:33,batch_st_spm_sync,,,,,,1,9,Dallas; TX,,,,,,616798025,5GNRM,48113,,,URBAN-SUBURBAN,UBSB,0,,,,,,,,,,
